Name,Date,Century,Wikipedia_Link
Zygmunt Bauman,1925??017,20th,https://en.wikipedia.org/wiki/Zygmunt_Bauman
Charles A. Baylis,1902??975,20th,https://en.wikipedia.org/wiki/Charles_A._Baylis
Francoise Baylis,born 1961,20th,https://en.wikipedia.org/wiki/Francoise_Baylis
Jc Beall,born 1966,20th,https://en.wikipedia.org/wiki/Jc_Beall
Monroe Beardsley,1915??985,20th,https://en.wikipedia.org/wiki/Monroe_Beardsley
Tom Beauchamp,born 1939,20th,https://en.wikipedia.org/wiki/Tom_Beauchamp
Jean Beaufret,1907??982,20th,https://en.wikipedia.org/wiki/Jean_Beaufret
Simone de Beauvoir,1908??986[b][c][d][e],20th,https://en.wikipedia.org/wiki/Simone_de_Beauvoir
Anthony Beavers,born 1963,20th,https://en.wikipedia.org/wiki/Anthony_Beavers
William Bechtel,born 1951,20th,https://en.wikipedia.org/wiki/William_Bechtel
Lewis White Beck,1913??997,20th,https://en.wikipedia.org/wiki/Lewis_White_Beck
Gerhold K. Becker,born 1943,20th,https://en.wikipedia.org/wiki/Gerhold_K._Becker
Lawrence C. Becker,1939??018,20th,https://en.wikipedia.org/wiki/Lawrence_C._Becker
Francis J. Beckwith,born 1960,20th,https://en.wikipedia.org/wiki/Francis_J._Beckwith
Hugo Bedau,1926??012,20th,https://en.wikipedia.org/wiki/Hugo_Bedau
Mark Bedau,born 1950,20th,https://en.wikipedia.org/wiki/Mark_Bedau
Helen Beebee,born 1968,20th,https://en.wikipedia.org/wiki/Helen_Beebee
Hasna Begum,1935??020,20th,https://en.wikipedia.org/wiki/Hasna_Begum
Ernst Behler,1928??997,20th,https://en.wikipedia.org/wiki/Ernst_Behler
Werner Beierwaltes,1931??019,20th,https://en.wikipedia.org/wiki/Werner_Beierwaltes
Frederick C. Beiser,born 1949,20th,https://en.wikipedia.org/wiki/Frederick_C._Beiser
Charles Beitz,born 1949,20th,https://en.wikipedia.org/wiki/Charles_Beitz
Daniel Bell,1919??011,20th,https://en.wikipedia.org/wiki/Daniel_Bell
John Lane Bell,born 1945,20th,https://en.wikipedia.org/wiki/John_Lane_Bell
Shannon Bell,born 1955,20th,https://en.wikipedia.org/wiki/Shannon_Bell
Robert N. Bellah,1927??013,20th,https://en.wikipedia.org/wiki/Robert_N._Bellah
Kathryn Sophia Belle,born 1978,20th,https://en.wikipedia.org/wiki/Kathryn_Sophia_Belle
Nuel Belnap,born 1930[b][c],20th,https://en.wikipedia.org/wiki/Nuel_Belnap
Yemima Ben-Menahem,born 1946,20th,https://en.wikipedia.org/wiki/Yemima_Ben-Menahem
Aaron Ben-Ze'ev,born 1949,20th,https://en.wikipedia.org/wiki/Aaron_Ben-Ze%27ev
Paul Benacerraf,born 1931,20th,https://en.wikipedia.org/wiki/Paul_Benacerraf
Linos Benakis,born 1928,20th,https://en.wikipedia.org/wiki/Linos_Benakis
JosÃ© Benardete,1928??016,20th,https://en.wikipedia.org/wiki/Jos%C3%A9_Benardete
Seth Benardete,1930??001,20th,https://en.wikipedia.org/wiki/Seth_Benardete
David Benatar,born 1966,20th,https://en.wikipedia.org/wiki/David_Benatar
Seyla Benhabib,born 1950,20th,https://en.wikipedia.org/wiki/Seyla_Benhabib
Piers Benn,born 1962,20th,https://en.wikipedia.org/wiki/Piers_Benn
Jonathan Bennett,born 1930[b][c],20th,https://en.wikipedia.org/wiki/Jonathan_Bennett_(philosopher)
Geoffrey Bennington,born 1956,20th,https://en.wikipedia.org/wiki/Geoffrey_Bennington
Alain de Benoist,born 1943,20th,https://en.wikipedia.org/wiki/Alain_de_Benoist
Bruce Ellis Benson,born 1960,20th,https://en.wikipedia.org/wiki/Bruce_Ellis_Benson
Sergio Benvenuto,born 1948,20th,https://en.wikipedia.org/wiki/Sergio_Benvenuto
Floris van den Berg,born 1973,20th,https://en.wikipedia.org/wiki/Floris_van_den_Berg
Peter L. Berger,1929??017,20th,https://en.wikipedia.org/wiki/Peter_L._Berger
Frithjof Bergmann,1930??021,20th,https://en.wikipedia.org/wiki/Frithjof_Bergmann
Gustav Bergmann,1906??987[a][b][c],20th,https://en.wikipedia.org/wiki/Gustav_Bergmann
Michael Bergmann,born 1964,20th,https://en.wikipedia.org/wiki/Michael_Bergmann_(philosopher)
Arnold Berleant,born 1932,20th,https://en.wikipedia.org/wiki/Arnold_Berleant
Isaiah Berlin,1909??997[a][b][c][d][e],20th,https://en.wikipedia.org/wiki/Isaiah_Berlin
Marshall Berman,1940??013,20th,https://en.wikipedia.org/wiki/Marshall_Berman
JosÃ© Benardete,1928??016,20th,https://en.wikipedia.org/wiki/Jos%C3%A9_Benardete
Seth Benardete,1930??001,20th,https://en.wikipedia.org/wiki/Seth_Benardete
Robert Bernasconi,born 1950,20th,https://en.wikipedia.org/wiki/Robert_Bernasconi
Walter Berns,1919??015,20th,https://en.wikipedia.org/wiki/Walter_Berns
Andrew Bernstein,born 1949,20th,https://en.wikipedia.org/wiki/Andrew_Bernstein_(philosopher)
Jay Bernstein,born 1947,20th,https://en.wikipedia.org/wiki/Jay_Bernstein_(professor)
Richard J. Bernstein,born 1932,20th,https://en.wikipedia.org/wiki/Richard_J._Bernstein
Marcus Berquist,1934??010,20th,https://en.wikipedia.org/wiki/Marcus_Berquist
Wendell Berry,born 1934,20th,https://en.wikipedia.org/wiki/Wendell_Berry
Ludwig von Bertalanffy,1901??972,20th,https://en.wikipedia.org/wiki/Ludwig_von_Bertalanffy
Peter Anthony Bertocci,1910??989,20th,https://en.wikipedia.org/wiki/Peter_Anthony_Bertocci
Steven Best,born 1955,20th,https://en.wikipedia.org/wiki/Steven_Best
GÃ¡bor Betegh,born 1968,20th,https://en.wikipedia.org/wiki/G%C3%A1bor_Betegh
Mark Bevir,born 1963,20th,https://en.wikipedia.org/wiki/Mark_Bevir
Jean-Yves BÃ©ziau,born 1965,20th,https://en.wikipedia.org/wiki/Jean-Yves_B%C3%A9ziau
Homi K. Bhabha,born 1949,20th,https://en.wikipedia.org/wiki/Homi_K._Bhabha
Roy Bhaskar,1944??014,20th,https://en.wikipedia.org/wiki/Roy_Bhaskar
Vladimir Bibikhin,1938??004,20th,https://en.wikipedia.org/wiki/Vladimir_Bibikhin
Cristina Bicchieri,born 1950,20th,https://en.wikipedia.org/wiki/Cristina_Bicchieri
Jacques Bidet,born 1935,20th,https://en.wikipedia.org/wiki/Jacques_Bidet
Jean BiÃ¨s,1933??014,20th,https://en.wikipedia.org/wiki/Jean_Bi%C3%A8s
Anat Biletzki,born 1952,20th,https://en.wikipedia.org/wiki/Anat_Biletzki
Akeel Bilgrami,born 1950,20th,https://en.wikipedia.org/wiki/Akeel_Bilgrami
Katalin BimbÃ³,born 1963,20th,https://en.wikipedia.org/wiki/Katalin_Bimb%C3%B3
Harry Binswanger,born 1944,20th,https://en.wikipedia.org/wiki/Harry_Binswanger
Alexander Bird,born 1964,20th,https://en.wikipedia.org/wiki/Alexander_Bird
Garrett Birkhoff,1911??996,20th,https://en.wikipedia.org/wiki/Garrett_Birkhoff
Jeffrey Bishop,born 1967,20th,https://en.wikipedia.org/wiki/Jeffrey_Bishop
Frode Alfson BjÃ¸rdal,born 1944,20th,https://en.wikipedia.org/wiki/Frode_Alfson_Bj%C3%B8rdal
Max Black,1909??988[b][c],20th,https://en.wikipedia.org/wiki/Max_Black
Simon Blackburn,born 1944[b][c],20th,https://en.wikipedia.org/wiki/Simon_Blackburn
Russell Blackford,born 1954,20th,https://en.wikipedia.org/wiki/Russell_Blackford
Oliva Blanchette,1929??021,20th,https://en.wikipedia.org/wiki/Oliva_Blanchette
Maurice Blanchot,1907??003[d],20th,https://en.wikipedia.org/wiki/Maurice_Blanchot
Joseph Leon Blau,1909??986,20th,https://en.wikipedia.org/wiki/Joseph_Leon_Blau
Ned Block,born 1942[b][c],20th,https://en.wikipedia.org/wiki/Ned_Block
Allan Bloom,1930??992,20th,https://en.wikipedia.org/wiki/Allan_Bloom
Lawrence Blum,born 1943,20th,https://en.wikipedia.org/wiki/Lawrence_Blum
Albert Blumberg,1906??997,20th,https://en.wikipedia.org/wiki/Albert_Blumberg
Hans Blumenberg,1920??996,20th,https://en.wikipedia.org/wiki/Hans_Blumenberg
Andy Blunden,born 1945,20th,https://en.wikipedia.org/wiki/Andy_Blunden
Norberto Bobbio,1909??004[b][c][d],20th,https://en.wikipedia.org/wiki/Norberto_Bobbio
Chris Bobonich,born 1960,20th,https://en.wikipedia.org/wiki/Chris_Bobonich
Susanne Bobzien,born 1960,20th,https://en.wikipedia.org/wiki/Susanne_Bobzien
Jozef Maria Bochenski,1902??995,20th,https://en.wikipedia.org/wiki/Jozef_Maria_Bochenski
Remo Bodei,1938??019,20th,https://en.wikipedia.org/wiki/Remo_Bodei
Margaret Boden,born 1936,20th,https://en.wikipedia.org/wiki/Margaret_Boden
Paul Boghossian,born 1957,20th,https://en.wikipedia.org/wiki/Paul_Boghossian
David Bohm,1917??992,20th,https://en.wikipedia.org/wiki/David_Bohm
Gernot BÃ¶hme,born 1937,20th,https://en.wikipedia.org/wiki/Gernot_B%C3%B6hme
Hilary Bok,born 1959,20th,https://en.wikipedia.org/wiki/Hilary_Bok
Sissela Bok,born 1934,20th,https://en.wikipedia.org/wiki/Sissela_Bok
Dietrich Bonhoeffer,1906??945[c][d],20th,https://en.wikipedia.org/wiki/Dietrich_Bonhoeffer
Laurence BonJour,born 1943,20th,https://en.wikipedia.org/wiki/Laurence_BonJour
Murray Bookchin,1921??006,20th,https://en.wikipedia.org/wiki/Murray_Bookchin
George Boolos,1940??996,20th,https://en.wikipedia.org/wiki/George_Boolos
Michael Bordt,born 1960,20th,https://en.wikipedia.org/wiki/Michael_Bordt
Albert Borgmann,born 1937,20th,https://en.wikipedia.org/wiki/Albert_Borgmann
Eugene Borowitz,1924??016,20th,https://en.wikipedia.org/wiki/Eugene_Borowitz
Lisa Bortolotti,born 1974,20th,https://en.wikipedia.org/wiki/Lisa_Bortolotti
David Bostock,1936??019,20th,https://en.wikipedia.org/wiki/David_Bostock_(philosopher)
Inga Bostad,born 1963,20th,https://en.wikipedia.org/wiki/Inga_Bostad
Nick Bostrom,born 1973,20th,https://en.wikipedia.org/wiki/Nick_Bostrom
George Botterill,born 1949,20th,https://en.wikipedia.org/wiki/George_Botterill
Eileen Hunt Botting,born 1971,20th,https://en.wikipedia.org/wiki/Eileen_Hunt_Botting
Alain de Botton,born 1969,20th,https://en.wikipedia.org/wiki/Alain_de_Botton
Pierre Bourdieu,1930??002[d],20th,https://en.wikipedia.org/wiki/Pierre_Bourdieu
Jacques Bouveresse,1940??021,20th,https://en.wikipedia.org/wiki/Jacques_Bouveresse
David Frederick Bowers,1906??945,20th,https://en.wikipedia.org/wiki/David_Frederick_Bowers
Andrew Bowie,born 1952,20th,https://en.wikipedia.org/wiki/Andrew_Bowie_(philosopher)
Jan Boxill,born 1939,20th,https://en.wikipedia.org/wiki/Jan_Boxill
Richard Boyd,1942??021,20th,https://en.wikipedia.org/wiki/Richard_Boyd
Joseph A. Bracken,born 1930,20th,https://en.wikipedia.org/wiki/Joseph_A._Bracken
Richard Bradley,born 1964,20th,https://en.wikipedia.org/wiki/Richard_Bradley_(philosopher)
