Name,Date,Century,Wikipedia_Link
Jean Jacques Rousseau,1712??778[a][b][c][d],18th,https://en.wikipedia.org/wiki/Jean_Jacques_Rousseau
Claude Henri de Rouvroy Comte de Saint-Simon,1760??825,18th,"https://en.wikipedia.org/wiki/Claude_Henri_de_Rouvroy,_Comte_de_Saint-Simon"
Pierre Paul Royer-Collard,1763??845,18th,https://en.wikipedia.org/wiki/Pierre_Paul_Royer-Collard
Mulla Hadi Sabzevari,1797??873[d],18th,https://en.wikipedia.org/wiki/Mulla_Hadi_Sabzevari
Marquis de Sade,1740??814[a],18th,https://en.wikipedia.org/wiki/Marquis_de_Sade
Claude Henri de Rouvroy Comte de Saint-Simon,1760??825[a][b][c][d],18th,"https://en.wikipedia.org/wiki/Claude_Henri_de_Rouvroy,_Comte_de_Saint-Simon"
Friedrich Carl von Savigny,1779??861[d],18th,https://en.wikipedia.org/wiki/Friedrich_Carl_von_Savigny
Friedrich Schelling,1775??852[a][b][c][d][e],18th,https://en.wikipedia.org/wiki/Friedrich_Schelling
Friedrich Schiller,1759??805[a][b][c][d],18th,https://en.wikipedia.org/wiki/Friedrich_Schiller
Friedrich von Schlegel,1772??829[a][c][d][e]*,18th,https://en.wikipedia.org/wiki/Friedrich_von_Schlegel
Friedrich Schleiermacher,1768??834[a][c][d][e],18th,https://en.wikipedia.org/wiki/Friedrich_Schleiermacher
Arthur Schopenhauer,1788??860[a][b][c][d][e],18th,https://en.wikipedia.org/wiki/Arthur_Schopenhauer
Gottlob Ernst Schulze,1761??833[a],18th,https://en.wikipedia.org/wiki/Gottlob_Ernst_Schulze
Shah Wali Allah,1703??762[d],18th,https://en.wikipedia.org/wiki/Shah_Wali_Allah
Lady Mary Shepherd,1777??847[a],18th,https://en.wikipedia.org/wiki/Lady_Mary_Shepherd
Heinrich Christoph Wilhelm Sigwart,1789??844,18th,https://en.wikipedia.org/wiki/Heinrich_Christoph_Wilhelm_Sigwart
Hryhori Skovoroda,1722??794[d],18th,https://en.wikipedia.org/wiki/Hryhori_Skovoroda
Adam Smith,1723??790[a][b][c][d],18th,https://en.wikipedia.org/wiki/Adam_Smith
Jan Sniadecki,1756??830,18th,https://en.wikipedia.org/wiki/Jan_Sniadecki
Karl Wilhelm Ferdinand Solger,1780??890,18th,https://en.wikipedia.org/wiki/Karl_Wilhelm_Ferdinand_Solger
Anne Louise Germaine de StaÃ«l,1766??817[d],18th,https://en.wikipedia.org/wiki/Anne_Louise_Germaine_de_Sta%C3%ABl
StanisÅaw Staszic,1755??826,18th,https://en.wikipedia.org/wiki/Stanis%C5%82aw_Staszic
Dugald Stewart,1753??828[b][c][d],18th,https://en.wikipedia.org/wiki/Dugald_Stewart
Tai Chen,1724??777[a][d],18th,https://en.wikipedia.org/wiki/Tai_Chen
Johannes Nikolaus Tetens,1736??807[a][d],18th,https://en.wikipedia.org/wiki/Johannes_Nikolaus_Tetens
William Thompson,1775??833,18th,https://en.wikipedia.org/wiki/William_Thompson_(Cork)
Tominaga Nakamoto,1715??746[d],18th,https://en.wikipedia.org/wiki/Tominaga_Nakamoto
Abraham Tucker,1705??774[d],18th,https://en.wikipedia.org/wiki/Abraham_Tucker
Emerich de Vattel,1714??767,18th,https://en.wikipedia.org/wiki/Emerich_de_Vattel
Vauvenargues,1715??747[a],18th,"https://en.wikipedia.org/wiki/Luc_de_Clapiers,_marquis_de_Vauvenargues"
William Whewell,1794??866[a][b][c][d][e],18th,https://en.wikipedia.org/wiki/William_Whewell
John Witherspoon,1723??794[d],18th,https://en.wikipedia.org/wiki/John_Witherspoon
Mary Wollstonecraft,1759??797[a][b][c][d],18th,https://en.wikipedia.org/wiki/Mary_Wollstonecraft
YÃ¼ Cheng-hsieh,1775??840,18th,https://en.wikipedia.org/wiki/Y%C3%BC_Cheng-hsieh
