Id,Label,Type,MovieCount,Genres
김건보_Act_1,김건보,Actor,2,"['액션', '드라마']"
양진서_Act_1,양진서,Actor,1,"['드라마', '판타지', '멜로/로맨스']"
조성진_Act_1,조성진,Actor,1,['멜로/로맨스']
홍은정_Act_1,홍은정,Actor,1,"['드라마', '액션']"
안정빈_Act_1,안정빈,Actor,1,['드라마']
유재연_Act_1,유재연,Actor,1,"['액션', '범죄']"
김찬형_Act_1,김찬형,Actor,2,"['액션', 'SF', '판타지', '범죄']"
이채성_Act_1,이채성,Actor,1,['액션']
이희경_Act_1,이희경,Actor,1,"['액션', '드라마']"
박재선_Act_1,박재선,Actor,1,['액션']
지이수_Act_1,지이수,Actor,2,"['드라마', '코미디', '멜로/로맨스']"
노희국_Act_1,노희국,Actor,1,"['액션', '범죄']"
배준수_Act_1,배준수,Actor,4,"['액션', '스릴러', '코미디', '범죄']"
김영호_Act_1,김영호,Actor,2,"['액션', '드라마']"
백수장_Act_1,백수장,Actor,1,"['액션', '코미디']"
김의성_Act_1,김의성,Actor,3,"['액션', '기타', '드라마', 'SF', '판타지']"
이호철_Act_1,이호철,Actor,1,"['액션', '범죄']"
정해인_Act_1,정해인,Actor,2,"['액션', '드라마', '범죄']"
김호연_Act_1,김호연,Actor,2,"['액션', '드라마']"
김다흰_Act_1,김다흰,Actor,1,['드라마']
신석호_Act_1,신석호,Actor,2,['드라마']
전정국_Act_1,전정국,Actor,1,['공연']
이미은_Act_1,이미은,Actor,1,['드라마']
유정훈_Act_1,유정훈,Actor,1,['멜로/로맨스']
정용락_Act_1,정용락,Actor,1,['코미디']
최재훈_Act_1,최재훈,Actor,1,"['액션', '범죄']"
김성규_Act_1,김성규,Actor,3,"['사극', '액션', '드라마']"
이슬기_Act_1,이슬기,Actor,1,"['드라마', '액션']"
이형동_Act_1,이형동,Actor,1,"['드라마', '액션']"
안성민_Act_1,안성민,Actor,1,"['드라마', '액션']"
이민지_Act_1,이민지,Actor,1,['액션']
홍윤정_Act_1,홍윤정,Actor,1,"['전쟁', '드라마']"
박효은_Act_1,박효은,Actor,2,"['드라마', '공연', '뮤지컬']"
김서빈_Act_1,김서빈,Actor,2,"['사극', '액션', '스릴러', '범죄']"
김성대_Act_1,김성대,Actor,1,"['드라마', '액션']"
김현섭_Act_1,김현섭,Actor,1,"['액션', '범죄']"
양영문_Act_1,양영문,Actor,1,['드라마']
이경림_Act_1,이경림,Actor,1,['드라마']
남동현_Act_1,남동현,Actor,1,"['액션', '범죄']"
박소을_Act_1,박소을,Actor,1,['드라마']
민대웅_Act_1,민대웅,Actor,1,"['액션', '드라마']"
한대훈_Act_1,한대훈,Actor,2,"['사극', '액션', '드라마']"
안희주_Act_1,안희주,Actor,1,"['코미디', '멜로/로맨스']"
장명운_Act_1,장명운,Actor,1,['드라마']
정재헌_Act_1,정재헌,Actor,1,['애니메이션']
심재원_Act_1,심재원,Actor,1,"['스릴러', '범죄']"
이성종_Act_1,이성종,Actor,1,['드라마']
정수일_Act_1,정수일,Actor,1,"['액션', '범죄']"
이소민_Act_1,이소민,Actor,1,"['액션', '범죄']"
변정수_Act_1,변정수,Actor,1,"['액션', '범죄']"
한종훈_Act_1,한종훈,Actor,2,"['드라마', '코미디', '멜로/로맨스']"
정하영_Act_1,정하영,Actor,1,"['사극', '액션']"
최소라_Act_1,최소라,Actor,1,"['코미디', '멜로/로맨스']"
김영조_Act_1,김영조,Actor,2,"['액션', '범죄']"
송지혁_Act_1,송지혁,Actor,1,"['액션', 'SF', '판타지']"
조경현_Act_1,조경현,Actor,2,"['드라마', '액션', '스릴러']"
심달기_Act_1,심달기,Actor,1,"['액션', 'SF', '판타지']"
김신우_Act_1,김신우,Actor,1,['애니메이션']
김담호_Act_1,김담호,Actor,1,"['드라마', '가족']"
신시아_Act_1,신시아,Actor,1,['액션']
김영웅_Act_1,김영웅,Actor,2,"['액션', '드라마']"
조명연_Act_1,조명연,Actor,1,['미스터리']
박소연_Act_1,박소연,Actor,1,['드라마']
정혜자_Act_1,정혜자,Actor,1,"['액션', '범죄']"
전진오_Act_1,전진오,Actor,1,"['액션', '범죄']"
박재찬_Act_1,박재찬,Actor,1,['멜로/로맨스']
이혜령_Act_1,이혜령,Actor,1,['드라마']
서현우_Act_1,서현우,Actor,1,['공포(호러)']
한창현_Act_1,한창현,Actor,1,['드라마']
정상훈_Act_1,정상훈,Actor,1,"['공포(호러)', '스릴러', '미스터리']"
김충길_Act_1,김충길,Actor,5,"['액션', '드라마', '코미디']"
류준열_Act_1,류준열,Actor,2,"['기타', '액션', '판타지', 'SF']"
박현욱_Act_1,박현욱,Actor,1,"['사극', '액션']"
박연_Act_1,박연,Actor,1,"['사극', '액션']"
전정일_Act_1,전정일,Actor,2,"['액션', '범죄', '드라마', '판타지', '멜로/로맨스']"
박재한_Act_1,박재한,Actor,1,"['공포(호러)', '미스터리']"
나윤서_Act_1,나윤서,Actor,1,['드라마']
장한솔_Act_1,장한솔,Actor,2,"['액션', '드라마']"
구하림_Act_1,구하림,Actor,1,['드라마']
윤영석_Act_1,윤영석,Actor,1,"['공연', '뮤지컬']"
양서윤_Act_1,양서윤,Actor,1,['뮤지컬']
이승헌_Act_1,이승헌,Actor,1,"['사극', '액션']"
정찬우_Act_1,정찬우,Actor,2,"['공포(호러)', '미스터리', '멜로/로맨스']"
홍승일_Act_1,홍승일,Actor,1,"['드라마', '판타지', '멜로/로맨스']"
지대한_Act_1,지대한,Actor,1,['드라마']
전찬원_Act_1,전찬원,Actor,1,"['액션', '범죄']"
오안진_Act_1,오안진,Actor,2,['드라마']
이다일_Act_1,이다일,Actor,2,"['액션', '범죄']"
정성화_Act_1,정성화,Actor,1,"['공연', '뮤지컬']"
최재옥_Act_1,최재옥,Actor,1,['액션']
박경순_Act_1,박경순,Actor,1,"['액션', '스릴러', '범죄']"
이다영_Act_1,이다영,Actor,1,['액션']
이원희_Act_1,이원희,Actor,2,"['사극', '액션', '미스터리', '공포(호러)']"
김경록_Act_1,김경록,Actor,1,"['액션', '범죄']"
이상묵_Act_1,이상묵,Actor,1,"['드라마', '액션']"
조이안_Act_1,조이안,Actor,1,"['액션', '범죄']"
최웅희_Act_1,최웅희,Actor,1,"['액션', '드라마', '스릴러']"
김춘봉_Act_1,김춘봉,Actor,1,['드라마']
박용균_Act_1,박용균,Actor,1,['액션']
최기표_Act_1,최기표,Actor,1,"['사극', '액션']"
문정웅_Act_1,문정웅,Actor,1,"['드라마', '가족']"
조셉_Act_1,조셉,Actor,1,['공포(호러)']
이서아_Act_1,이서아,Actor,1,"['액션', '범죄']"
김광용_Act_1,김광용,Actor,1,['미스터리']
한철수_Act_1,한철수,Actor,1,['멜로/로맨스']
이형석_Act_1,이형석,Actor,2,"['액션', '드라마', '범죄']"
김다운_Act_1,김다운,Actor,1,['다큐멘터리']
최용욱_Act_1,최용욱,Actor,1,"['드라마', '스릴러']"
김광재_Act_1,김광재,Actor,1,"['액션', '코미디']"
홍원표_Act_1,홍원표,Actor,1,['액션']
문정환_Act_1,문정환,Actor,1,"['사극', '액션']"
정해균_Act_1,정해균,Actor,1,"['드라마', '액션']"
허이진_Act_1,허이진,Actor,1,['멜로/로맨스']
안대겸_Act_1,안대겸,Actor,1,"['액션', '범죄']"
송이우_Act_1,송이우,Actor,1,"['액션', '범죄']"
강정민_Act_1,강정민,Actor,1,"['액션', 'SF', '판타지']"
이남우_Act_1,이남우,Actor,1,['드라마']
최우준_Act_1,최우준,Actor,1,"['액션', '범죄']"
안상태_Act_1,안상태,Actor,1,"['액션', '범죄']"
김한민_Act_1,김한민,Actor,2,"['액션', '드라마']"
이지영_Act_1,이지영,Actor,1,"['사극', '액션']"
김시윤_Act_1,김시윤,Actor,1,['코미디']
김수현_Act_1,김수현,Actor,2,"['액션', 'SF', '미스터리', '공포(호러)', '판타지']"
이태환_Act_1,이태환,Actor,2,"['액션', '스릴러', 'SF', '공포(호러)', '판타지']"
김기두_Act_1,김기두,Actor,1,"['액션', '코미디']"
곽장륜_Act_1,곽장륜,Actor,1,"['액션', '범죄']"
박현우_Act_1,박현우,Actor,1,['드라마']
이규형_Act_1,이규형,Actor,1,"['사극', '액션']"
장혁준_Act_1,장혁준,Actor,2,"['액션', '멜로/로맨스', '코미디', '범죄']"
이경선_Act_1,이경선,Actor,1,['드라마']
이상희_Act_1,이상희,Actor,3,"['액션', '스릴러', '드라마', '공포(호러)', '판타지', '멜로/로맨스']"
연원모_Act_1,연원모,Actor,1,"['사극', '액션']"
우아름_Act_1,우아름,Actor,1,['드라마']
박지영_Act_1,박지영,Actor,3,"['드라마', '액션', '코미디', '범죄']"
설찬미_Act_1,설찬미,Actor,1,"['코미디', '멜로/로맨스']"
안구희_Act_1,안구희,Actor,1,"['액션', '스릴러']"
민이수_Act_1,민이수,Actor,1,"['액션', '스릴러', '범죄']"
박성현_Act_1,박성현,Actor,2,"['사극', '액션']"
이용민_Act_1,이용민,Actor,1,['드라마']
한지철_Act_1,한지철,Actor,1,"['액션', '서부극(웨스턴)', '코미디']"
강정임_Act_1,강정임,Actor,1,['드라마']
이강민_Act_1,이강민,Actor,1,"['액션', '스릴러', '범죄']"
사문영_Act_1,사문영,Actor,1,['애니메이션']
박희본_Act_1,박희본,Actor,1,['액션']
윤종구_Act_1,윤종구,Actor,1,['액션']
이정은_Act_1,이정은,Actor,1,"['공포(호러)', '스릴러']"
장래군_Act_1,장래군,Actor,1,"['코미디', '멜로/로맨스']"
셔누_Act_1,셔누,Actor,1,['다큐멘터리']
홍택근_Act_1,홍택근,Actor,2,"['액션', '드라마', '스릴러', '범죄']"
김혜영_Act_1,김혜영,Actor,1,['미스터리']
서지미_Act_1,서지미,Actor,1,"['공포(호러)', '스릴러']"
방은정_Act_1,방은정,Actor,1,['액션']
이기광_Act_1,이기광,Actor,1,['공연']
반영경_Act_1,반영경,Actor,1,['다큐멘터리']
유민주_Act_1,유민주,Actor,2,"['액션', '드라마', '코미디', '범죄']"
홍지원_Act_1,홍지원,Actor,1,"['드라마', '코미디']"
천준호_Act_1,천준호,Actor,1,"['액션', '범죄']"
전민호_Act_1,전민호,Actor,1,"['액션', '서부극(웨스턴)', '코미디']"
정정아_Act_1,정정아,Actor,2,"['액션', '코미디', '범죄', '스릴러', '멜로/로맨스']"
루안 브룸_Act_1,루안 브룸,Actor,1,['코미디']
최다형_Act_1,최다형,Actor,3,"['드라마', '범죄']"
유일한_Act_1,유일한,Actor,1,"['액션', '범죄']"
조동혁_Act_1,조동혁,Actor,2,['액션']
민지혁_Act_1,민지혁,Actor,1,"['SF', '가족', '멜로/로맨스']"
정경임_Act_1,정경임,Actor,1,"['드라마', '가족']"
강동현_Act_1,강동현,Actor,1,"['스릴러', '범죄']"
권오상_Act_1,권오상,Actor,1,"['액션', '서부극(웨스턴)', '코미디']"
오명진_Act_1,오명진,Actor,1,"['액션', '범죄']"
이하민_Act_1,이하민,Actor,1,"['드라마', '액션']"
김정팔_Act_1,김정팔,Actor,1,['드라마']
이길훈_Act_1,이길훈,Actor,1,['다큐멘터리']
