Source,Target,Type,Id,Label,Weight
김시우_Dir_1,강한솔_Act_1,Undirected,5765,,1
김시우_Dir_1,공재민_Act_1,Undirected,5766,,1
김시우_Dir_1,김남희_Act_1,Undirected,5767,,1
김시우_Dir_1,김동일_Act_1,Undirected,5768,,1
김시우_Dir_1,김동해_Act_1,Undirected,5769,,1
김시우_Dir_1,김수민_Act_1,Undirected,5770,,1
김시우_Dir_1,김연서_Act_1,Undirected,5771,,1
김시우_Dir_1,김춘봉_Act_1,Undirected,5772,,1
김시우_Dir_1,김태희_Act_1,Undirected,5773,,1
김시우_Dir_1,나혜진_Act_1,Undirected,5774,,1
김시우_Dir_1,동방우_Act_1,Undirected,5775,,1
김시우_Dir_1,민우혁_Act_1,Undirected,5776,,1
김시우_Dir_1,박현일_Act_1,Undirected,5777,,1
김시우_Dir_1,배다해_Act_1,Undirected,5778,,1
김시우_Dir_1,백승철_Act_1,Undirected,5779,,1
김시우_Dir_1,백종건_Act_1,Undirected,5780,,1
김시우_Dir_1,서울_Act_1,Undirected,5781,,1
김시우_Dir_1,서진원_Act_1,Undirected,5782,,1
김시우_Dir_1,서채우_Act_1,Undirected,5783,,1
김시우_Dir_1,성기윤_Act_1,Undirected,5784,,1
김시우_Dir_1,송창규_Act_1,Undirected,5785,,1
김시우_Dir_1,심태선_Act_1,Undirected,5786,,1
김시우_Dir_1,양서윤_Act_1,Undirected,5787,,1
김시우_Dir_1,오정철_Act_1,Undirected,5788,,1
김시우_Dir_1,오주환_Act_1,Undirected,5789,,1
김시우_Dir_1,윤상현_Act_1,Undirected,5790,,1
김시우_Dir_1,이민영_Act_1,Undirected,5791,,1
김시우_Dir_1,이병욱_Act_1,Undirected,5792,,1
김시우_Dir_1,이세인_Act_1,Undirected,5793,,1
김시우_Dir_1,이세창_Act_1,Undirected,5794,,1
김시우_Dir_1,이윤희_Act_1,Undirected,5795,,1
김시우_Dir_1,이현일_Act_1,Undirected,5796,,1
김시우_Dir_1,임진혁_Act_1,Undirected,5797,,1
김시우_Dir_1,임춘길_Act_1,Undirected,5798,,1
김시우_Dir_1,임호_Act_1,Undirected,5799,,1
김시우_Dir_1,장명갑_Act_1,Undirected,5800,,1
김시우_Dir_1,정동화_Act_1,Undirected,5801,,1
김시우_Dir_1,정종훈_Act_1,Undirected,5802,,1
김시우_Dir_1,정지호_Act_1,Undirected,5803,,1
김시우_Dir_1,주효경_Act_1,Undirected,5804,,1
김시우_Dir_1,지대한_Act_1,Undirected,5805,,1
김시우_Dir_1,진모_Act_1,Undirected,5806,,1
김시우_Dir_1,황무영_Act_1,Undirected,5807,,1
김시우_Dir_1,황석정_Act_1,Undirected,5808,,1
김재훈_Dir_1,강춘성_Act_1,Undirected,5809,,1
김재훈_Dir_1,곽시양_Act_1,Undirected,5810,,1
김재훈_Dir_1,권민경_Act_1,Undirected,5811,,1
김재훈_Dir_1,김강민_Act_1,Undirected,5812,,1
김재훈_Dir_1,김광규_Act_1,Undirected,5813,,1
