Source,Target,Type,Weight
김지운_Dir_1,오정세_Act_1,Undirected,1
김지운_Dir_1,우지만_Act_1,Undirected,1
김지운_Dir_1,유민재_Act_1,Undirected,1
김지운_Dir_1,유민주_Act_1,Undirected,1
김지운_Dir_1,윤정한_Act_1,Undirected,1
김지운_Dir_1,이선우_Act_1,Undirected,1
김지운_Dir_1,이승원_Act_1,Undirected,1
김지운_Dir_1,이주한_Act_1,Undirected,1
김지운_Dir_1,이혜아_Act_1,Undirected,1
김지운_Dir_1,임수정_Act_1,Undirected,1
김지운_Dir_1,장광_Act_1,Undirected,1
김지운_Dir_1,장남열_Act_1,Undirected,1
김지운_Dir_1,장영남_Act_1,Undirected,1
김지운_Dir_1,장형모_Act_1,Undirected,1
김지운_Dir_1,전여빈_Act_1,Undirected,1
김지운_Dir_1,정기섭_Act_1,Undirected,1
김지운_Dir_1,정미형_Act_1,Undirected,1
김지운_Dir_1,정상훈_Act_1,Undirected,1
김지운_Dir_1,정성렬_Act_1,Undirected,1
김지운_Dir_1,정수정_Act_1,Undirected,1
김지운_Dir_1,정우성_Act_1,Undirected,1
김지운_Dir_1,정인기_Act_1,Undirected,1
김지운_Dir_1,조승구_Act_1,Undirected,1
김지운_Dir_1,조윤담_Act_1,Undirected,1
김지운_Dir_1,조지승_Act_1,Undirected,1
김지운_Dir_1,채하니_Act_1,Undirected,1
김지운_Dir_1,최원영_Act_1,Undirected,1
김지운_Dir_1,최하윤_Act_1,Undirected,1
김지운_Dir_1,한서울_Act_1,Undirected,1
김지운_Dir_1,한아름_Act_1,Undirected,1
김지운_Dir_1,한예주_Act_1,Undirected,1
김지운_Dir_1,허영진_Act_1,Undirected,1
김지훈_Dir_1,강신일_Act_1,Undirected,1
김지훈_Dir_1,고용화_Act_1,Undirected,1
김지훈_Dir_1,고창석_Act_1,Undirected,2
김지훈_Dir_1,권귀빈_Act_1,Undirected,1
김지훈_Dir_1,권소현_Act_1,Undirected,1
김지훈_Dir_1,권수진_Act_1,Undirected,1
김지훈_Dir_1,권오철_Act_1,Undirected,1
김지훈_Dir_1,권정숙_Act_1,Undirected,1
김지훈_Dir_1,김건우_Act_1,Undirected,2
김지훈_Dir_1,김경환_Act_1,Undirected,1
김지훈_Dir_1,김귀례_Act_1,Undirected,1
김지훈_Dir_1,김동현_Act_1,Undirected,1
김지훈_Dir_1,김명희_Act_1,Undirected,1
김지훈_Dir_1,김병철_Act_1,Undirected,1
김지훈_Dir_1,김성균_Act_1,Undirected,1
김지훈_Dir_1,김성오_Act_1,Undirected,1
김지훈_Dir_1,김세정_Act_1,Undirected,1
김지훈_Dir_1,김영_Act_1,Undirected,1
김지훈_Dir_1,김영원_Act_1,Undirected,1
김지훈_Dir_1,김왕도_Act_1,Undirected,1
김지훈_Dir_1,김윤식_Act_1,Undirected,1
김지훈_Dir_1,김재건_Act_1,Undirected,1
김지훈_Dir_1,김재화_Act_1,Undirected,1
김지훈_Dir_1,김정일_Act_1,Undirected,1
김지훈_Dir_1,김준혁_Act_1,Undirected,1
김지훈_Dir_1,김태훈_Act_1,Undirected,1
김지훈_Dir_1,김혜준_Act_1,Undirected,1
김지훈_Dir_1,김홍파_Act_1,Undirected,2
김지훈_Dir_1,나철_Act_1,Undirected,1
김지훈_Dir_1,나현민_Act_1,Undirected,1
김지훈_Dir_1,남기애_Act_1,Undirected,1
김지훈_Dir_1,남다름_Act_1,Undirected,1
김지훈_Dir_1,노정의_Act_1,Undirected,1
김지훈_Dir_1,노진영_Act_1,Undirected,1
김지훈_Dir_1,도윤섭_Act_1,Undirected,1
김지훈_Dir_1,문소리_Act_1,Undirected,1
김지훈_Dir_1,박광진_Act_1,Undirected,1
김지훈_Dir_1,박명신_Act_1,Undirected,1
김지훈_Dir_1,박민준_Act_1,Undirected,1
김지훈_Dir_1,박민지_Act_1,Undirected,1
김지훈_Dir_1,박옥출_Act_1,Undirected,1
김지훈_Dir_1,박진우_Act_1,Undirected,1
김지훈_Dir_1,배유리_Act_1,Undirected,1
김지훈_Dir_1,백명재_Act_1,Undirected,1
